x,y,Node_ID,node_len,Reach_ID,dist_out,max_width
-50.657898909127880,67.018568160872476,"91270800030011",205.686868704997778,"91270800031",27179.000000000000000,67.000000000000000
-50.653754725781113,67.019465227714534,"91270800030021",200.173229219674084,"91270800031",27380.000000000000000,58.500000000000000
-50.649615800839030,67.019976465616438,"91270800030031",186.998446391138145,"91270800031",27567.000000000000000,67.000000000000000
-50.645131980792939,67.020515019526798,"91270800030041",221.026307064513389,"91270800031",27788.000000000000000,75.000000000000000
-50.641089103055805,67.020093830092122,"91270800030051",188.660693285455977,"91270800031",27976.000000000000000,84.000000000000000
-50.637859025130865,67.018739139862276,"91270800030061",213.147053887283278,"91270800031",28189.000000000000000,90.000000000000000
-50.633804933283557,67.018173693558140,"91270800030071",183.499223429051881,"91270800031",28373.000000000000000,254.000000000000000
-50.629327561243365,67.018287638421725,"91270800030081",212.376468835200740,"91270800031",28585.000000000000000,92.000000000000000
-50.624847473267842,67.018574457877008,"91270800030091",197.498506760669898,"91270800031",28783.000000000000000,75.000000000000000
-50.620709078501015,67.019022152686418,"91270800030101",185.810212299590376,"91270800031",28969.000000000000000,99.000000000000000
-50.616588208813056,67.018348462176320,"91270800030111",210.672580150090880,"91270800031",29179.000000000000000,67.000000000000000
-50.612466254520733,67.017755396968184,"91270800030121",184.687457641522997,"91270800031",29364.000000000000000,85.500000000000000
-50.607985906838898,67.018051990457963,"91270800030131",214.093340653233554,"91270800031",29578.000000000000000,108.000000000000000
-50.603510078818118,67.018065258794309,"91270800030141",184.687457663298574,"91270800031",29763.000000000000000,114.000000000000000
-50.598625328877930,67.017822023804399,"91270800030151",237.099618654172446,"91270800031",30000.000000000000000,85.000000000000000
-50.594646506873808,67.018312061585178,"91270800030161",185.829785541268819,"91270800031",30186.000000000000000,92.000000000000000
-50.593518479016559,67.019888009675853,"91270800030171",182.905105937375083,"91270800031",30369.000000000000000,52.500000000000000
-50.594685119806371,67.021505686229503,"91270800030181",195.187517584864963,"91270800031",30564.000000000000000,57.000000000000000
-50.593501521862656,67.023059702134304,"91270800030191",212.820227407889433,"91270800031",30777.000000000000000,36.000000000000000
-50.591054468787725,67.024456694519117,"91270800030201",197.498506439231733,"91270800031",30974.000000000000000,83.500000000000000
-50.589552423338127,67.026202093565402,"91270800030211",214.093340103842365,"91270800031",31188.000000000000000,92.000000000000000
-50.588424072765235,67.027948442785359,"91270800030221",201.890100749441444,"91270800031",31390.000000000000000,104.500000000000000
-50.586364614098805,67.029423252770400,"91270800030231",179.119902591112805,"91270800031",31569.000000000000000,63.000000000000000
-50.583641273760797,67.030761742199005,"91270800030241",208.124373209354445,"91270800031",31777.000000000000000,42.000000000000000
-50.580283829028282,67.032098518184981,"91270800030251",200.109050285837810,"91270800031",31977.000000000000000,84.000000000000000
-50.577488624774730,67.033571275224915,"91270800030261",213.347302454844794,"91270800031",32191.000000000000000,71.000000000000000
-50.574273637413903,67.034863447633498,"91270800030271",191.831943306407993,"91270800031",32383.000000000000000,42.000000000000000
-50.570160379621178,67.034977991337414,"91270800030281",182.376468914075303,"91270800031",32565.000000000000000,67.500000000000000
-50.565687205153438,67.034665984879453,"91270800030291",212.970586107884628,"91270800031",32778.000000000000000,60.000000000000000
-50.561208658011729,67.034657559451816,"91270800030301",185.281574851978803,"91270800031",32963.000000000000000,33.000000000000000
-50.556735586137663,67.034349146081368,"91270800030311",214.093340812172755,"91270800031",33177.000000000000000,75.000000000000000
-50.552258997945465,67.034237953300490,"91270800030321",185.281574878949868,"91270800031",33363.000000000000000,60.000000000000000
-50.547787358011611,67.033862653529525,"91270800030331",219.673169276414228,"91270800031",33582.000000000000000,48.000000000000000
-50.543668519702877,67.033052784701979,"91270800030341",192.668354953666494,"91270800031",33775.000000000000000,67.000000000000000
-50.539896550997724,67.032130520538644,"91270800030351",194.823784455028544,"91270800031",33970.000000000000000,63.000000000000000
-50.535430561249434,67.031489614955362,"91270800030361",218.715318554633086,"91270800031",34188.000000000000000,63.000000000000000
-50.530955621839723,67.031324003149862,"91270800030371",181.188234866758648,"91270800031",34370.000000000000000,92.000000000000000
-50.526906568855964,67.031697767294759,"91270800030381",205.236400040803346,"91270800031",34575.000000000000000,94.000000000000000
-50.524168767846106,67.033124914633177,"91270800030391",202.475651725389980,"91270800031",34777.000000000000000,58.500000000000000
-50.520223710315690,67.034028082071544,"91270800030401",213.499223853867989,"91270800031",34991.000000000000000,60.000000000000000
-50.515742342887179,67.034167025867490,"91270800030411",189.079052173433411,"91270800031",35180.000000000000000,65.000000000000000
-50.511937865030553,67.034907156658946,"91270800030421",158.257270919268194,"91270800031",35338.000000000000000,96.000000000000000
-50.509045326656093,67.036200807029616,"91270800040011",181.794625197431458,"91270800041",35558.000000000000000,67.000000000000000
-50.506004960092675,67.037519060343215,"91270800040021",211.430891901304733,"91270800041",35770.000000000000000,79.500000000000000
-50.501531726724714,67.038345803942306,"91270800040031",223.106912934472803,"91270800041",35993.000000000000000,67.000000000000000
-50.497047375231894,67.038585454881471,"91270800040041",180.594117892116060,"91270800041",36174.000000000000000,60.000000000000000
-50.492919521821186,67.038249428837901,"91270800040051",197.498507107673959,"91270800041",36371.000000000000000,57.000000000000000
-50.488450944077307,67.037735350455733,"91270800040061",213.499223971310016,"91270800041",36585.000000000000000,75.000000000000000
-50.483971439740543,67.037745256576144,"91270800040071",181.188235014865313,"91270800041",36766.000000000000000,339.000000000000000
-50.479833136156088,67.037911213618841,"91270800040081",201.131080412916617,"91270800041",36967.000000000000000,339.000000000000000
