reach_id,node_id,time,time_str,time_tai,lat,lon,wse,wse_u,wse_r_u,width,width_u,area_total,area_tot_u,area_detct,area_det_u,area_wse,layovr_val,node_dist,xtrk_dist,node_q,node_q_b,dark_frac,n_good_pix,rdr_sig0,xovr_cal_q,cycle_id,pass_id,sword_version,p_dist_out,p_length,time_units,time_tai_units,lat_units,lon_units,wse_units,wse_u_units,wse_r_u_units,width_units,width_u_units,area_total_units,area_tot_u_units,area_detct_units,area_det_u_units,area_wse_units,layovr_val_units,node_dist_units,xtrk_dist_units,dark_frac_units,n_good_pix_units,rdr_sig0_units,p_dist_out_units,p_length_units
91270800051,91270800050221,773326579.436,2024-07-03 12:56:19+00:00,773326616.436,67.06528698,-50.2587861,186.22634,0.12604,0.08823,101.41554,4.91556,18375.3,890.6,18375.3,890.6,18375.3,-0.8051,385.4697788,59136.93359,1,6,0.0,128,18.07,0,17,406,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,773413020.041,2024-07-04 12:57:00+00:00,773413057.041,67.07225839,-50.2571541,127.88768,0.09573,0.03263,448.128571,13.5194,81195.6,2449.6,81195.6,2449.6,81195.6,0.0281,309.4332098,-32077.875,2,524298,0.0,208,29.006,0,17,434,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,773900074.864,2024-07-10 04:14:34+00:00,773900111.864,67.07270542,-50.2567495,134.38455,0.09377,0.02632,536.159625,12.533034,97145.8,2270.8,97145.8,2270.8,97145.8,-1.2516,426.0200151,43752.11328,2,524298,0.0,374,30.027,0,18,7,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,774271157.375,2024-07-14 11:19:17+00:00,774271194.375,67.07099341,-50.2578128,128.6776,0.09362,0.02578,457.785178,15.800202,82945.3,2862.8,82945.3,2862.8,82945.3,2.1869,318.1524999,15067.8291,2,524290,0.0,65,31.052,0,18,128,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,775129285.255,2024-07-24 09:41:25+00:00,775129322.255,67.06580441,-50.2584216,186.40299,0.11856,0.07718,154.456713,5.722745,27985.7,1036.9,27985.7,1036.9,27985.7,-2.5011,311.7215164,58639.02344,1,6,0.0,204,14.125,0,18,406,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,775215726.029,2024-07-25 09:42:06+00:00,775215763.029,67.07163973,-50.2571853,160.08043,0.11541,0.07224,790.398515,13.473779,143210.9,2441.3,143210.9,2441.3,143210.9,0.9671,194.1370594,-32282.75586,2,524298,0.0,115,26.054,0,18,434,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,776073861.549,2024-08-04 08:04:21+00:00,776073898.549,67.0708531,-50.2576859,127.79013,0.09753,0.03758,389.532381,14.125544,70578.7,2559.4,70578.7,2559.4,70578.7,1.7209,271.4459788,14873.86719,2,524298,0.0,49,31.77,0,19,128,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,776931990.124,2024-08-14 06:26:30+00:00,776932027.124,67.06547502,-50.2582814,186.1162,0.1245,0.08602,136.533207,5.959122,24738.2,1079.7,24738.2,1079.7,24738.2,-2.4431,374.675022,58571.80469,1,7,0.0,150,16.686,0,19,406,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,777018430.872,2024-08-15 06:27:10+00:00,777018467.872,67.07207385,-50.2570442,129.23849,0.09481,0.02983,728.070363,15.757745,131917.8,2855.1,131917.8,2855.1,131917.8,2.2013,160.6834662,-32485.02344,2,524298,0.0,246,25.131,0,19,434,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,779679271.721,2024-09-15 01:34:31+00:00,779679308.721,67.06897118,-50.257266,192.4373,0.09591,0.03314,122.44156,11.760444,22185.0,2130.9,22185.0,2130.9,22185.0,-0.146,25.3214639,13646.34961,2,524290,0.0,27,104.433,1,21,128,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
91270800051,91270800050221,780623843.241,2024-09-25 23:57:23+00:00,780623880.241,67.06442802,-50.2591902,201.46186,0.13724,0.10361,513.979262,11.904643,93127.0,2157.0,93127.0,2157.0,93127.0,1.7522,240.0756571,-31974.88477,2,524298,0.0,55,8.474,0,21,434,16,48184.0,181.18823592,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,1,1,m,m
