reach_id,time,time_tai,time_str,p_lat,p_lon,wse,wse_u,wse_r_u,slope,slope_u,slope_r_u,slope2,slope2_u,slope2_r_u,width,width_u,area_total,area_tot_u,area_detct,area_det_u,area_wse,layovr_val,node_dist,xtrk_dist,reach_q,reach_q_b,dark_frac,xovr_cal_q,cycle_id,pass_id,sword_version,p_dist_out,partial_f,n_good_nod,time_units,time_tai_units,p_lat_units,p_lon_units,wse_units,wse_u_units,wse_r_u_units,slope_units,slope_u_units,slope_r_u_units,slope2_units,slope2_u_units,slope2_r_u_units,width_units,width_u_units,area_total_units,area_tot_u_units,area_detct_units,area_det_u_units,area_wse_units,layovr_val_units,node_dist_units,xtrk_dist_units,dark_frac_units,p_dist_out_units,n_good_nod_units
91270800031,776560907.787,776560944.787,2024-08-09T23:21:47Z,67.02622929,-50.5854346,80.6689,0.84319,0.83838,0.00173422664,9.714819e-05,9.710186e-05,0.00449886646,-999999999999.0,0.12134449905,367.333901,2.386753,2571341.1,16707.2959,2544244.7,16707.3,2571341.1,7.366,261.3762395,-12313.5459,2,524298,0.010538,0,19,285,16,35377.076,0,24,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800031,777018430.795,777018467.795,2024-08-15T06:27:10Z,67.02622929,-50.5854346,37.169,0.38274,0.372,0.00809806006,4.192141e-05,4.181393e-05,0.00826827653,-999999999999.0,0.00767654102,137.576127,1.340713,1122519.1,10939.2213,1117370.3,10939.2,1122519.1,7.3384,127.1292358,-17803.42188,2,524298,0.004587,0,19,434,16,35377.076,0,28,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800031,779221740.488,779221777.488,2024-09-09T18:29:00Z,67.02622929,-50.5854346,35.3802,0.67807,0.67207,0.0082322275,5.380274e-05,5.371903e-05,0.00680816678,-999999999999.0,0.00832517801,39.083629,0.528308,272645.5,3685.4501,263942.7,3685.5,272645.5,13.7161,106.5480374,-58124.37891,2,524302,0.03192,0,20,563,16,35377.076,0,25,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800031,779308181.235,779308218.235,2024-09-10T18:29:41Z,67.02622929,-50.5854346,36.2193,0.33834,0.32615,0.0059880827,9.75087e-06,9.2779e-06,0.00651023614,-999999999999.0,0.00123500738,29.518119,0.477616,246904.1,3995.0198,243510.3,3995.0,246904.1,8.8056,32.2879342,35384.75781,2,524290,0.013746,0,21,7,16,35377.076,0,31,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800031,779679271.64,779679308.64,2024-09-15T01:34:31Z,67.02622929,-50.5854346,42.6218,2.17509,2.17323,0.00648042661,6.94132e-06,6.25955e-06,0.00737357492,-999999999999.0,0.10749655081,46.756352,0.913286,315991.7,6172.2272,306488.4,6172.2,315991.7,3.2915,35.1973236,28484.04004,2,524290,0.030074,1,21,128,16,35377.076,0,23,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800041,768004906.364,768004943.364,2024-05-02T22:41:46Z,67.04917937,-50.4276569,119.8382,0.2729,0.25763,0.00803655735,1.010196e-05,9.64622e-06,0.00774712559,-999999999999.0,0.00685559205,263.368983,1.91424,2209354.2,16058.2065,2195305.9,16058.2,2209354.2,2.4891,129.3999212,-23179.4043,2,524298,0.006359,0,14,434,16,43796.487,0,33,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800041,768405520.328,768405557.328,2024-05-07T13:58:40Z,67.04917937,-50.4276569,132.7237,2.95576,2.95439,0.00607201237,0.00049567385,0.00049566477,0.00471255107,-999999999999.0,0.57957665558,144.510799,1.21959,1034676.1,8732.0846,1029113.1,8732.1,1034676.1,4.2572,289.7783225,-52459.98242,2,524298,0.005377,2,14,563,16,43796.487,0,21,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800041,768491952.868,768491989.868,2024-05-08T13:59:12Z,67.04917937,-50.4276569,104.6776,0.42115,0.41142,0.0087309232,1.672951e-05,1.645833e-05,0.00862388385,-999999999999.0,0.01282936589,193.265688,1.283823,1621270.4,10769.7578,1610922.4,10769.8,1621270.4,9.7602,106.8194117,38962.76953,2,524302,0.006383,0,15,7,16,43796.487,0,32,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800041,769807611.3,769807648.3,2024-05-23T19:26:51Z,67.04917937,-50.4276569,130.1385,0.35501,0.34341,0.01104139179,1.012469e-05,9.67002e-06,0.0119545821,-999999999999.0,0.0093120688,201.347022,1.710637,1689063.3,14350.2204,1676340.7,14350.2,1689063.3,4.9598,114.2895982,-23643.60742,2,524298,0.007532,0,15,434,16,43796.487,0,30,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
91270800041,770208225.339,770208262.339,2024-05-28T10:43:45Z,67.04917937,-50.4276569,107.7106,0.77646,0.77122,0.01085741508,0.00018443671,0.00018441231,0.01001455432,-999999999999.0,0.01616878404,66.075434,2.660032,528371.8,21270.9292,515588.1,21270.9,528371.8,35.0586,58.8201788,-52502.69727,2,524302,0.024195,0,15,563,16,43796.487,0,28,seconds since 2000-01-01 00:00:00.000,seconds since 2000-01-01 00:00:00.000,degrees_north,degrees_east,m,m,m,m/m,m/m,m/m,m/m,m/m,m/m,m,m,m^2,m^2,m^2,m^2,m^2,m,m,m,1,m,1
